id,alpha
273552,2
271355,2
270253,3
280186,1
274085,1
278918,2
274769,2
271228,4
270569,3
279921,4
271701,1
273947,2
270864,2
274292,2
276902,1
279876,1
277421,4
280098,1
275055,1
273924,4
279736,2
274881,2
274184,2
275380,3
279541,2
275473,3
275402,3
277925,4
270645,2
272223,1
275096,2
270288,3
274506,4
273575,1
274708,2
272785,2
274873,3
281096,2
273007,1
273019,2
281190,4
277193,2
276342,2
278627,2
274389,2
281309,2
272433,1
272540,4
274040,2
275310,2
279315,4
272379,4
277293,2
271119,2
279539,4
270351,1
281335,2
274065,4
276661,2
280565,4
277500,3
277524,2
281135,2
278561,1
277597,4
273949,4
274583,4
270365,2
271339,2
270781,4
276968,2
277247,2
280751,1
281031,2
279762,1
271124,3
274759,4
276772,2
278295,2
277680,4
271866,2
273713,2
279958,1
275776,3
273652,2
275731,2
278920,2
271403,1
275637,1
277284,2
273932,3
278679,4
275147,2
274463,4
276171,2
278033,3
275329,2
270394,1
270738,1
271122,2
280854,3
272106,1
272513,2
272246,4
270953,3
273456,3
274064,2
270998,2
281417,4
280404,3
274439,2
277586,2
270449,2
273505,2
278971,2
272557,2
275825,1
271747,4
277199,2
280325,2
278687,2
279955,4
273610,2
275664,4
277600,4
280653,4
280804,2
271937,2
276086,2
279652,1
276533,2
274950,3
276386,2
279059,2
274673,4
277238,1
273867,2
276470,4
272873,2
276571,2
272501,1
272652,2
272354,2
277508,1
276148,2
272651,2
275556,1
271422,2
272741,4
279895,1
279034,2
280514,1
276139,1
272007,2
272131,2
274067,4
281389,2
275489,4
278952,3
275175,2
276725,2
272283,4
273763,4
271850,2
279751,2
280115,2
272237,1
277324,2
273737,2
272527,2
280918,2
280809,4
276934,1
271854,4
278863,2
277444,3
272239,2
273391,1
274615,4
276487,2
278162,2
275636,2
276510,4
271157,3
278791,1
279838,4
281026,2
281245,1
275757,1
276361,4
278843,2
274515,2
275792,4
271237,4
278129,4
280878,2
275559,2
274297,2
278496,3
277206,2
281535,4
275772,4
272003,2
273547,4
270070,3
271186,4
280142,2
273080,2
280247,1
277154,1
271451,4
277792,4
272074,2
270756,1
278094,1
276503,4
270718,2
276911,2
279472,3
280455,1
270928,3
275247,2
280870,4
274468,2
280409,1
273785,4
274965,2
279578,2
272420,3
277133,2
270145,2
281321,1
275480,2
280816,4
275603,4
280182,2
281310,2
271419,2
278702,2
274920,1
270884,4
270580,3
279554,4
273671,2
281183,4
278304,1
279811,3
278644,3
279004,2
280677,4
271415,1
275269,2
279224,4
280548,4
276005,2
274693,2
275030,2
271816,2
275638,3
276456,2
270194,2
272967,2
277736,1
279216,4
279184,1
275829,1
279144,2
275347,4
271353,3
275945,2
278441,1
277486,2
270790,1
274254,2
274265,4
270370,3
275217,3
277751,2
279832,2
277031,2
277789,2
280796,1
277099,2
272821,2
270267,1
272950,2
272898,4
278030,2
274241,3
276366,4
276564,4
274309,4
275292,2
274840,2
281441,2
274442,1
279281,1
270777,2
277742,3
274383,1
273465,2
273168,3
277211,2
276455,2
276250,4
274213,3
273629,2
271943,4
280433,4
273389,2
281313,2
276940,4
280736,2
281382,2
275743,1
281076,4
278796,2
271454,2
279129,4
275924,2
281489,2
280960,4
277436,2
280374,2
275447,4
270887,2
274021,1
270703,4
279465,2
273489,4
273876,1
279444,2
275844,4
280156,2
280735,4
280278,4
270438,2
274940,1
281332,4
276878,2
270270,1
281098,1
271120,1
271132,2
270202,2
278924,4
272272,4
270119,1
272961,3
278787,4
281043,2
270893,4
276606,1
275734,2
272292,1
277217,2
273133,2
278081,4
273052,1
275982,1
279161,2
279217,2
271926,4
279079,1
277420,2
270117,1
276014,3
273479,2
278425,3
280324,1
270896,4
278682,1
277959,2
270129,4
276083,2
274433,2
275396,3
271805,1
275790,2
280222,2
274902,3
273545,2
279719,3
279375,3
280569,2
281249,2
276371,4
279460,4
279603,2
280933,2
270531,3
277590,3
271882,4
277767,1
271107,2
280467,1
274332,2
275291,2
277580,2
279646,4
278378,2
277730,2
274662,2
270844,2
280000,4
277853,1
278519,2
277934,4
279163,1
272200,2
273258,4
281197,2
270177,2
277230,2
277184,2
279207,2
275110,1
277467,2
280352,2
274612,2
272388,2
278517,4
279920,4
278481,4
278414,2
271385,3
279971,2
279020,4
276477,4
281041,2
276325,2
272880,4
277911,3
279715,2
273261,1
281527,3
275811,2
281088,4
272228,2
275345,3
274175,2
273179,4
276481,1
279450,4
280703,2
270231,3
276784,3
273315,2
272025,2
270973,1
279657,2
277205,3
278049,1
276676,2
279989,4
279737,1
274628,1
276832,3
278841,4
277244,2
281326,2
278803,2
272746,2
274835,1
280130,2
270156,4
272169,4
273270,2
277622,4
279712,3
278579,3
273205,4
273441,3
278168,2
279585,2
275662,1
276921,4
280892,2
274714,2
274380,2
270144,2
273149,2
279288,2
279117,2
278097,2
277698,1
277438,1
272952,2
273404,2
276803,2
278093,2
276664,2
277296,3
277062,4
279593,4
279310,4
271150,1
276965,2
275550,1
278059,4
274155,1
274327,1
271375,2
281552,2
270838,1
279490,4
273272,2
275186,2
273916,4
280542,2
271814,4
273047,2
272360,1
276949,2
273726,2
271791,1
277886,1
275725,3
281458,2
273313,2
281039,2
272728,3
275908,1
272289,2
271014,1
275326,1
275262,2
272079,1
272782,2
276443,2
272723,2
271547,3
272073,4
277533,2
277298,2
272790,4
270123,4
274322,2
273196,4
275985,2
274923,2
274742,2
277607,2
278455,2
276180,1
270472,4
271860,2
277311,2
273957,2
272089,2
277672,3
278394,2
273085,2
273842,4
276658,3
273397,3
274664,1
277471,2
273885,2
280134,4
272907,1
281522,3
278135,2
275426,2
279183,2
273333,2
276939,3
275028,3
277927,2
270275,4
274400,2
281116,2
274368,3
272229,2
275180,1
278927,2
273169,2
274932,2
272411,2
276363,1
280847,2
278328,2
274991,2
271956,2
270623,2
275680,2
277383,2
280817,2
278916,3
275934,3
276225,2
277360,2
270988,2
271069,2
274415,2
276789,1
280683,2
272196,2
270750,2
274564,2
276874,4
270648,2
271741,2
271277,4
272130,1
271893,2
277604,2
278351,1
273027,4
280728,2
280501,2
273068,1
279382,1
274347,1
275887,2
273163,2
280958,1
279043,2
280554,2
276648,2
271966,2
273081,1
279257,2
274738,2
272132,4
279337,2
279495,1
276505,4
277710,1
277071,2
281298,3
270315,2
273077,1
281457,2
278970,2
271201,3
275651,4
270465,1
279136,1
279031,4
275029,4
276509,2
272275,4
279026,2
275654,2
274013,2
281554,2
279424,2
270300,2
274586,2
276779,2
279292,2
271202,1
270545,3
280573,2
274832,3
271285,3
281372,3
281277,3
277019,4
270946,4
273960,2
272779,1
277780,2
274803,2
276133,4
280126,4
276719,1
280567,2
279154,3
272255,2
277712,2
278666,2
277694,2
279284,2
278747,4
275843,1
275633,2
278101,4
273062,3
277084,1
272207,1
271853,2
280056,1
272118,4
276727,2
280650,4
271766,2
274944,2
272182,2
272296,3
281423,4
277314,1
279722,2
274148,1
279391,3
272116,2
279433,3
277150,4
273936,2
270950,3
277155,4
276963,2
272587,2
280708,1
278995,2
280593,2
276492,4
270476,4
276128,1
281234,2
278614,4
278948,2
279039,2
276273,4
281035,4
272828,1
274273,1
275493,3
278136,4
275465,4
280112,2
274258,3
278753,2
277095,4
272590,2
275270,3
278769,3
276177,3
274057,2
272698,1
272654,4
275922,2
276200,2
279640,2
271724,4
275098,2
274935,4
270721,2
273753,2
276718,1
281251,2
280268,1
279801,2
275876,2
276569,1
278911,2
280326,3
270172,2
270095,4
278655,2
270971,4
280959,3
272736,4
272788,2
279956,2
276288,1
277830,3
276625,1
277753,3
271845,1
274091,2
276257,3
276937,1
279562,3
280858,2
278578,2
270377,1
270167,2
270985,4
274195,1
280559,3
279131,1
276640,2
274404,1
280102,2
278714,2
273650,4
280560,2
274253,4
274136,3
273482,3
273112,3
280851,4
275503,2
273503,2
275430,4
276924,1
272323,4
279894,2
274151,3
277260,2
270442,2
270124,2
274027,2
277875,4
279839,2
273663,2
270630,4
280055,2
274422,4
270052,2
270477,1
276721,3
278890,2
272631,4
270203,4
274670,1
281143,4
279481,2
274712,2
280652,1
274209,2
271106,1
271264,2
274440,3
274987,2
278172,2
274736,2
281411,2
279473,2
278936,1
278007,2
279326,4
279347,2
274808,1
276472,3
273863,3
270857,4
273987,2
275251,4
270567,4
270413,4
272410,4
275629,2
279494,2
277630,1
273065,4
280627,3
273159,2
278036,4
270696,3
270933,1
276287,3
278833,3
281054,1
277417,2
274549,3
275039,2
278516,2
274763,1
277234,4
278019,2
271167,4
276365,4
273013,4
277803,2
275495,4
270837,3
278617,1
275868,4
276517,2
271877,2
275126,2
280602,2
277899,1
279437,4
277056,4
272624,4
277201,2
279581,2
273873,4
280145,4
271146,4
274486,2
279027,2
273393,3
272403,2
273531,2
279080,2
275849,4
273138,2
278877,3
272243,2
276712,2
280458,3
270543,1
272069,2
270972,2
272421,2
274545,4
274744,2
280594,2
280862,4
278742,2
277391,1
270323,4
272026,4
271859,1
274179,2
281057,2
271653,2
279025,1
274224,1
280999,4
277432,2
273755,1
280694,2
280471,2
272450,2
279060,3
274831,2
271521,3
281241,2
275361,2
278663,4
278606,2
275414,3
281523,1
270742,2
272078,3
280899,1
278453,1
280841,4
274602,1
277776,4
270046,2
275182,2
279608,2
276951,4
279720,4
278337,4
280343,2
274138,4
279987,4
273656,2
272771,4
277286,3
280834,2
276321,1
272059,2
274430,2
271625,3
281119,2
279498,2
270784,1
271751,4
278899,1
276068,2
274871,3
273492,4
270237,2
273415,2
278004,1
279441,3
275526,2
274045,4
279311,2
273859,2
270949,1
276995,1
271641,2
273597,1
279229,1
270501,2
279816,2
275172,3
281376,4
278393,2
275005,1
272030,2
270855,1
279675,1
274551,4
272794,2
271238,2
277482,1
274104,1
279228,2
271181,3
280920,2
279725,1
279371,3
273983,4
272754,4
277760,2
272362,4
271924,4
274829,1
278529,2
274338,1
273057,4
281173,2
271912,1
280034,2
279262,2
270214,2
272465,2
274011,3
273017,2
275196,1
270960,2
274979,2
277408,2
277035,3
278278,2
272359,3
274613,4
278060,2
279668,2
278879,2
276557,4
276711,1
274895,3
270043,2
281487,3
279360,4
273186,2
272622,2
276920,1
272467,2
278206,2
279782,1
274194,2
280109,4
271065,2
280167,1
273494,2
271662,4
270993,4
271361,2
280317,2
271555,2
278143,3
280782,3
275749,2
280552,2
280584,4
274967,1
274514,3
278903,1
277483,4
273267,1
275962,2
277182,2
281512,1
276735,1
278551,2
274014,4
280219,1
278946,1
270151,2
271765,2
281202,3
281131,4
271603,2
280437,2
275672,2
280814,2
271505,2
281288,2
275548,2
272962,4
276788,2
270974,1
276646,2
276523,2
280482,3
281123,2
271586,1
271590,2
276830,4
278809,1
278245,2
273832,3
279132,4
276315,2
280647,1
280793,4
272427,2
273623,3
277327,2
274047,2
270815,2
277249,1
277734,2
278609,2
274239,1
272011,2
273463,2
272331,4
277261,3
279294,3
274124,1
277795,4
273637,3
275169,2
271063,2
270879,4
273002,3
279502,4
276094,2
270357,2
270839,3
274521,2
278584,1
277721,2
279240,4
278515,3
273514,2
279417,2
271027,4
278077,4
274164,3
271169,2
280998,2
275973,2
278518,2
275990,2
276339,4
279118,3
277656,2
279546,2
280213,4
271543,3
278947,1
271328,1
280460,3
271219,2
278454,3
279024,1
277653,3
272021,2
275571,1
278139,2
280242,4
275695,2
270515,2
275222,2
278570,2
280294,2
277466,2
271477,1
275313,2
272969,2
280082,2
272053,2
270775,1
279519,2
276584,1
270586,2
277303,2
276941,1
280184,2
276074,4
275225,2
276348,1
278540,2
278925,3
278634,3
274777,2
278430,2
280466,4
271082,3
274678,3
275595,1
275403,4
278563,2
273277,1
280919,3
277779,2
273383,2
280805,2
276833,2
275875,2
281058,1
280749,1
270885,3
278569,2
276775,2
270649,3
270729,2
271153,4
278599,2
279589,3
274752,4
275692,4
276071,4
279093,2
277651,3
274315,1
271430,3
275283,1
273362,2
274337,4
274447,2
274733,2
278185,2
273847,2
273442,4
276885,2
279238,3
274825,2
280608,3
274998,4
270811,4
273022,2
279409,3
275087,4
278410,4
281008,1
278719,3
277315,2
276918,2
273511,1
278318,1
277577,2
281067,3
273624,2
271793,2
275998,2
273722,2
270284,3
275369,3
281205,4
271820,2
280053,4
271757,2
271156,2
274601,2
272071,1
273358,2
276516,2
272578,3
280415,4
271246,2
280662,4
280696,3
270795,2
271594,4
280187,4
272361,2
274256,1
272122,3
279314,2
279358,4
280886,2
272153,2
271303,2
272192,4
271849,2
275534,3
270243,2
275241,2
277545,4
280431,2
272818,1
280532,1
274216,4
279761,2
274429,4
279979,2
275858,4
280355,2
272057,1
274959,2
278340,4
280449,2
280306,3
271618,3
276326,4
276631,1
276121,3
275334,4
273069,2
272820,4
273595,2
272769,1
279844,4
281214,1
278628,1
277476,3
279951,2
271843,2
279637,1
271359,2
270686,1
275661,3
276061,2
276465,1
271310,4
271052,1
280499,2
274848,1
276990,2
277904,1
279068,4
272761,2
280239,2
271844,2
279767,2
278886,2
274152,1
273288,1
280914,1
271215,1
271406,2
276077,2
270216,4
272735,1
277212,4
271782,2
272733,2
279108,2
274471,2
278338,4
274772,3
274913,2
270615,2
278618,4
270135,4
280022,3
279711,4
273592,3
272031,1
274941,2
270032,2
273141,2
273507,1
270667,2
271433,4
274399,2
278506,2
273795,4
281475,2
280636,1
275105,1
273087,2
280461,3
272346,1
272401,4
276429,4
270344,2
278538,1
277325,2
274954,2
275123,1
273567,2
279613,3
276985,2
279466,2
276184,1
278885,4
280750,2
276552,3
276853,3
277254,2
278102,2
280072,3
281496,2
278255,1
273571,4
274961,2
278939,2
270127,2
274272,4
271474,2
270714,2
279753,3
270427,4
275560,3
276453,2
276069,2
274384,1
277583,2
276614,1
281095,4
279794,3
277759,1
278750,1
279723,2
278215,2
271737,2
280699,2
270547,2
271711,2
278341,2
272673,2
278825,2
274157,2
279897,1
275273,1
270869,3
276117,2
274527,2
279981,2
278805,4
272279,2
271207,2
270669,1
278596,3
278963,3
277246,3
275511,3
278199,2
274033,4
272861,2
278894,4
279205,4
275115,4
281061,2
278727,2
278403,2
278512,2
278616,3
275780,2
278329,2
273470,4
279128,2
278991,1
278566,2
280025,2
272127,1
280473,3
272240,2
271851,4
273341,2
276067,2
275400,2
273092,2
280293,3
280208,2
272080,2
277239,4
281114,3
279692,2
279074,2
270481,1
277349,2
276550,1
274846,3
278868,3
272845,2
271350,2
280229,2
273485,2
270854,3
276722,3
278211,2
276296,2
278688,3
276025,2
277172,1
280223,2
275243,2
279809,3
273760,2
277469,1
279160,1
273835,1
278113,3
279383,1
275893,1
277449,2
275133,2
270482,3
273495,2
274642,4
274589,2
278828,2
279422,2
280179,4
274570,2
277322,2
279858,2
276706,3
272806,2
278448,2
275652,4
278008,2
274880,2
271972,4
278981,2
280348,1
270489,1
272688,2
270470,2
271076,2
273477,4
274640,2
281235,2
279454,3
279614,2
280288,2
271885,3
271222,2
281327,4
273129,3
272381,2
272606,3
278865,2
272444,4
277366,4
273975,1
275107,3
275062,2
270594,1
270443,3
276436,4
280493,3
276593,2
278722,2
274775,2
275145,3
275669,2
279612,1
273269,1
279014,4
274849,1
272061,2
273134,2
275366,4
276563,4
272171,2
278010,1
279655,3
280859,4
273058,3
278250,2
271386,3
271553,4
276388,4
280505,2
277905,2
281246,1
270536,1
270566,4
277518,2
281331,2
278142,2
275644,3
271840,3
273130,4
274079,1
270510,4
271006,4
281140,1
271021,4
279120,4
273836,4
271049,2
277555,1
275983,3
278822,2
273658,2
272704,4
278091,2
275663,2
274475,2
279559,2
273151,4
275781,3
271108,3
272637,2
279654,4
271626,4
277979,2
273919,4
277426,4
273759,2
270007,4
274629,1
276224,2
273135,2
278820,2
278494,2
271754,2
272446,2
281048,4
280692,1
274516,2
273715,3
277566,2
270873,3
275919,2
274682,2
280660,3
279457,2
277054,1
271647,2
272722,2
280291,2
278287,2
280468,1
278915,1
280544,2
271155,4
276567,1
279584,3
270143,1
280562,2
278520,1
280125,2
279961,4
271220,2
277477,3
273043,2
275088,1
277837,3
273599,2
280757,2
272173,2
270947,4
274236,2
276716,1
279137,1
272412,1
275826,2
280060,2
271335,4
276691,4
275578,2
276037,2
276607,2
278277,2
278623,2
278977,2
272960,2
277801,1
279321,2
275974,1
271826,1
272168,2
272925,2
281580,2
277453,4
271990,2
278327,2
277769,4
277729,2
270396,1
275565,2
275719,2
281397,2
272593,2
280665,1
281233,1
272752,1
271865,1
277275,2
276193,2
275142,4
278154,3
274992,2
271068,2
277526,2
278092,3
270956,2
271343,3
277376,3
272757,2
277485,3
280838,2
277107,2
271609,3
280839,4
276048,4
278323,2
270176,4
276728,1
273918,2
270931,1
271272,2
276407,1
277856,2
279295,1
272812,1
274544,2
279575,4
272422,1
279528,1
277393,4
274889,2
277352,3
280591,1
272397,1
278057,3
275259,3
281256,2
275967,2
274732,3
280777,4
274350,4
272355,2
274437,1
278521,3
280013,4
273938,2
281444,2
275711,2
276428,3
270063,2
272129,2
280441,4
274948,2
277709,4
276239,1
276526,2
277149,2
276534,3
274884,1
278422,2
272989,4
278140,3
277882,2
277443,2
273883,3
277080,2
277169,4
274757,3
275003,1
279882,1
280042,1
273010,2
271144,2
270023,2
274666,2
275611,2
274995,1
277478,2
277372,2
277877,4
278816,2
277945,2
279373,4
279023,1
275220,1
279645,2
274469,3
274491,2
276970,3
276130,1
278844,2
273143,2
271296,2
270890,2
278567,2
274851,4
281367,2
273475,2
280038,2
277057,1
271530,2
271366,2
275943,2
276611,2
277153,1
278273,4
272983,2
280425,3
278629,1
273360,2
280027,2
279631,3
273219,4
276931,3
276955,3
279359,4
275892,2
280007,4
273564,2
280413,4
277487,2
281393,3
278543,3
270654,2
273841,2
278344,4
273579,2
280676,4
272890,2
276634,4
276007,4
280766,2
274131,2
274352,2
273326,4
276057,1
272811,4
279724,2
270521,2
277210,1
280634,3
278003,2
273499,3
270435,1
270882,3
278960,2
273838,2
271444,2
274518,2
280388,2
271448,2
279245,2
277661,2
271175,4
279421,3
278292,3
274603,2
276136,3
271991,2
272971,2
275944,4
274633,3
275350,3
276926,2
272750,1
281297,2
278937,2
272058,4
276548,2
273195,2
272767,2
277885,1
273357,1
278875,4
278854,4
271494,2
275910,1
281472,4
279453,1
272128,3
270446,1
273448,4
270434,2
273781,2
270991,3
274858,2
280790,3
271323,3
280256,3
271716,3
272662,2
278940,4
279774,1
274535,4
276123,2
280874,3
275963,2
279967,1
281174,2
270999,2
271825,2
279776,3
281180,1
279319,1
281383,1
275118,2
280312,3
277668,4
271378,2
280387,2
281455,4
270796,3
272384,1
275431,2
272034,1
270801,2
279557,1
278902,1
270061,1
278385,2
279251,2
277939,4
279800,4
272581,2
273752,2
280744,3
276091,2
273850,3
277771,2
280189,3
279946,2
276299,1
272731,1
276354,2
280183,3
280264,2
276581,1
273480,1
279299,4
278956,3
277002,4
273625,3
277334,2
272992,4
280564,4
272282,3
278193,4
279194,4
279428,3
274558,2
277996,4
276480,2
273784,2
273702,4
279553,1
276574,1
275319,2
278938,3
275050,4
279644,3
281186,3
273667,2
278355,3
275316,2
272390,3
279268,2
276639,3
273099,2
276916,2
280114,2
275581,2
277537,3
278657,2
276230,4
276915,2
273736,1
277448,1
270367,1
271449,2
278878,2
275717,1
273553,2
276702,2
270530,2
275864,3
270309,4
270448,2
271886,4
275293,2
275008,1
275988,2
271513,2
271165,3
281361,1
270036,2
273770,2
280932,4
280093,2
275395,2
276435,3
272891,3
275229,2
275479,2
276003,2
275044,4
271356,2
272258,3
274215,3
274159,2
273257,4
270264,1
277123,2
278330,2
279511,1
280982,3
270488,4
280204,2
280299,4
277280,3
275129,3
281025,4
281118,4
281336,2
272027,2
275547,2
280875,2
277931,2
277684,4
274076,3
275600,4
281468,1
272225,4
272373,2
279331,3
276260,2
278689,2
280617,4
271560,1
279157,2
277943,4
274605,2
272978,4
271613,2
274018,4
278591,1
270387,3
272438,1
270012,4
274233,3
272534,4
275830,1
273822,4
273408,1
270107,4
280248,1
272356,2
276731,1
279265,2
279353,2
278990,1
280191,2
279178,3
272634,1
278710,2
275287,2
273607,4
276347,2
279845,4
279534,1
276286,3
278736,2
281044,3
275482,2
274912,4
271467,2
274341,2
279524,2
272088,3
281581,1
270576,3
272575,2
279889,2
280329,2
271563,2
281012,2
280457,2
270279,4
271373,2
278042,1
278798,2
281495,3
272124,2
273676,4
272936,4
280752,3
274457,3
274249,2
275932,2
278112,2
275788,2
278132,2
273646,3
280118,3
277470,3
280221,2
271818,4
280690,4
271048,3
280579,1
276373,4
275643,2
272263,4
279623,3
278128,3
273395,2
272491,4
274336,4
278146,3
273343,4
276320,3
274787,2
279516,2
273681,1
281396,3
278748,1
277072,2
280452,1
279879,3
273912,3
275106,4
272471,1
277708,2
277437,2
273471,2
278900,2
274795,2
279393,3
280436,1
278365,4
274206,2
276457,1
274789,3
270302,4
276991,2
270517,3
277823,2
272603,2
279555,3
281250,2
276323,1
271372,2
270340,1
277916,2
274054,4
271578,2
272713,2
278638,2
276452,2
270552,3
276577,4
281451,2
275460,2
273222,1
276421,3
279985,1
273375,1
278692,2
275751,4
276151,4
277342,1
274133,2
277203,1
272796,2
277474,4
281264,2
276880,2
277207,4
277370,4
278458,2
278951,2
277008,3
279540,1
276219,1
271480,2
274113,2
280426,2
275653,4
273804,4
270040,2
274367,1
275352,1
271875,2
279313,4
270800,2
277866,3
280408,4
277495,3
279856,3
280709,2
279650,2
277976,2
280592,4
279501,2
274756,3
279523,2
270585,2
280377,3
277831,4
272665,2
280727,1
279525,3
271828,2
280760,2
273320,2
273875,4
274379,4
278815,2
272245,2
275730,3
272528,4
272358,4
278062,2
271675,4
270410,4
279069,1
276079,4
272979,3
273340,1
277965,3
276762,2
281113,1
272930,3
274710,1
271909,2
280551,1
271269,3
277774,4
277799,2
277253,2
278363,3
271587,1
280950,2
276542,1
272101,2
280003,2
270460,1
270011,4
271986,2
281053,3
276147,3
277502,4
274890,4
274174,2
277836,4
271461,2
271078,4
281338,2
272332,2
277690,3
273432,1
279779,1
279866,3
274331,1
270602,4
274743,2
273632,3
271557,4
276278,2
278138,3
276591,2
275437,4
270051,1
278169,1
279708,2
271874,3
277310,4
277113,1
273923,4
275191,3
271984,2
273201,3
272115,2
278504,3
277851,3
277061,3
278999,2
276568,4
271607,2
272202,2
272284,4
274676,2
271452,1
272442,2
272984,1
271799,2
277445,2
270343,2
281429,4
276054,2
271764,2
279705,2
273998,2
273669,1
273802,2
272764,2
271516,3
280276,2
281450,2
270848,2
272325,1
278300,2
279261,3
276418,1
280530,2
274467,2
273695,2
275787,4
274984,4
272566,2
270655,2
271699,3
280176,2
271212,4
271413,1
277112,4
276441,2
278565,2
276697,3
279586,1
275628,2
273175,2
272477,1
280632,1
273952,3
271725,1
272514,2
280930,2
272737,2
270162,2
277701,3
273197,1
279815,2
279036,4
274034,1
280957,1
270265,4
281384,4
277480,3
271075,2
275752,2
279673,3
270620,2
273122,2
270041,2
272407,1
276254,1
280737,1
274822,2
271401,3
275496,4
278845,2
281508,2
280722,2
276678,2
278289,2
279929,3
274595,2
281074,2
272822,2
281100,4
273825,2
279162,2
277312,1
276380,4
274726,3
270274,4
272977,4
274971,2
278600,4
281121,4
274547,3
278799,4
280698,2
274641,1
271073,2
278160,3
275058,3
275076,1
271357,4
275266,1
276572,4
273061,4
275138,2
279944,3
273447,1
276109,2
270421,1
277387,2
280220,2
272535,2
272695,3
279764,4
276431,2
271174,2
272841,2
273519,1
276659,3
281304,2
279289,4
273921,1
271133,2
276919,2
280775,4
273991,3
280661,4
270160,1
276562,4
281063,1
270577,4
270867,4
275237,2
272188,2
273054,4
275920,4
275164,2
281028,4
277531,4
279847,2
280068,2
278205,1
276222,4
275457,3
277130,1
281229,3
275965,2
276417,2
278917,3
275821,2
272641,2
271517,2
272469,1
270180,2
274168,2
272517,2
274396,4
277499,3
276368,4
279104,2
274819,3
276382,3
274677,1
270242,1
276294,4
275842,1
278103,4
276686,2
278818,4
271342,2
280795,2
270637,3
275865,1
281442,4
274624,4
274268,1
271954,2
279771,4
279639,4
272265,2
277504,2
277707,2
278332,2
277898,1
278191,4
281177,2
279274,4
271556,2
277289,4
277270,4
275417,3
273866,3
277762,2
272251,1
273946,4
272800,3
275803,2
274856,4
280810,2
270582,2
277794,3
270579,2
280157,3
274333,2
280829,2
279913,4
270360,1
278741,2
278979,4
279411,1
275072,2
272464,2
270296,2
276073,2
279181,1
280308,4
280799,2
276072,1
270816,4
274821,1
273840,2
278445,2
271904,2
280704,4
273901,2
278065,4
276561,2
275135,1
271500,3
277128,2
275947,4
281318,4
274731,2
274745,2
273641,2
272717,4
277824,4
272345,1
279685,2
276044,1
272836,3
270635,4
280368,2
270553,2
277425,4
270634,2
271831,1
277454,3
272774,2
273444,4
277439,2
272209,2
272177,4
280491,4
281541,4
281500,3
273349,2
273807,3
277807,3
275153,3
275835,2
273390,3
270105,4
280362,3
273421,2
280225,4
273673,1
272905,4
273367,3
275645,2
272063,1
274171,4
271914,3
273079,2
278013,2
280135,4
272248,4
272724,2
274023,2
271197,2
272010,2
272203,4
274569,2
280623,1
271101,4
276356,2
278910,2
274768,1
